This is crash.log for uploading-log-feature test.

07-23 18:19:32.395 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.396 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.397 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.398 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.399 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.405 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.406 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.407 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.407 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.408 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.415 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.417 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.417 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.419 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.420 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.425 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.427 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.427 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.429 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:32.429 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.401 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.402 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.402 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.402 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.405 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.409 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.410 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.411 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.413 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.414 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.419 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.420 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.422 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.423 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.424 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.430 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.431 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.432 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.432 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.434 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:33.527 1314-1367 I/DisplayPowerController: useProximityForceSuspend = false
07-23 18:19:33.777 1314-1367 I/DisplayPowerController: useProximityForceSuspend = false
07-23 18:19:34.411 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.412 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.414 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.416 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.417 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.422 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.423 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.424 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.424 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.425 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.433 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.434 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.435 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.435 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.435 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.442 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.443 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.445 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.446 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:34.446 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.421 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.424 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.425 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.425 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
